time,o,h,l,c,volume,complete
2024-09-09 00:00:00+00:00,2497.01,2498.335,2495.755,2495.88,3527,True
2024-09-09 00:30:00+00:00,2495.875,2497.985,2495.715,2496.065,2988,True
2024-09-09 01:00:00+00:00,2496.085,2498.765,2494.805,2497.815,8525,True
2024-09-09 01:30:00+00:00,2497.77,2498.395,2496.15,2497.79,6984,True
2024-09-09 02:00:00+00:00,2497.795,2499.215,2497.07,2497.635,4290,True
2024-09-09 02:30:00+00:00,2497.63,2499.205,2497.06,2497.17,3157,True
2024-09-09 03:00:00+00:00,2497.175,2498.58,2496.78,2497.995,3479,True
2024-09-09 03:30:00+00:00,2497.965,2500.59,2497.74,2499.365,2859,True
2024-09-09 04:00:00+00:00,2499.37,2499.56,2498.645,2498.795,2338,True
2024-09-09 04:30:00+00:00,2498.8,2498.905,2497.58,2498.28,2492,True
2024-09-09 05:00:00+00:00,2498.265,2498.37,2496.69,2497.035,3099,True
2024-09-09 05:30:00+00:00,2497.055,2497.13,2487.515,2487.92,8410,True
2024-09-09 06:00:00+00:00,2487.915,2491.01,2486.032,2486.465,7254,True
2024-09-09 06:30:00+00:00,2486.47,2493.655,2485.61,2489.855,7328,True
2024-09-09 07:00:00+00:00,2489.86,2495.075,2488.94,2493.69,6980,True
2024-09-09 07:30:00+00:00,2493.695,2496.815,2491.09,2494.33,7906,True
2024-09-09 08:00:00+00:00,2494.4,2495.715,2490.135,2491.475,7542,True
2024-09-09 08:30:00+00:00,2491.465,2493.375,2490.46,2492.245,4111,True
2024-09-09 09:00:00+00:00,2492.345,2496.82,2492.17,2496.115,4481,True
2024-09-09 09:30:00+00:00,2496.055,2497.675,2495.32,2496.465,3841,True
2024-09-09 10:00:00+00:00,2496.475,2499.27,2494.225,2495.135,4949,True
2024-09-09 10:30:00+00:00,2495.13,2495.57,2493.19,2494.53,4903,True
2024-09-09 11:00:00+00:00,2494.535,2497.83,2493.49,2497.52,3032,True
2024-09-09 11:30:00+00:00,2497.425,2498.94,2496.395,2497.27,5045,True
2024-09-09 12:00:00+00:00,2497.445,2502.44,2496.345,2502.37,7467,True
2024-09-09 12:30:00+00:00,2502.36,2504.195,2500.625,2500.94,9276,True
2024-09-09 13:00:00+00:00,2500.94,2505.35,2499.46,2503.08,9990,True
2024-09-09 13:30:00+00:00,2503.075,2503.895,2499.385,2499.86,9880,True
2024-09-09 14:00:00+00:00,2499.805,2501.275,2495.965,2499.835,10677,True
2024-09-09 14:30:00+00:00,2499.915,2500.155,2493.31,2496.925,9470,True
2024-09-09 15:00:00+00:00,2496.94,2498.035,2493.69,2495.005,8108,True
2024-09-09 15:30:00+00:00,2495.075,2499.74,2495.0,2499.21,4719,True
2024-09-09 16:00:00+00:00,2499.215,2503.26,2499.21,2501.95,3862,True
2024-09-09 16:30:00+00:00,2501.935,2505.36,2501.385,2504.475,3147,True
2024-09-09 17:00:00+00:00,2504.485,2504.67,2501.725,2503.295,2788,True
2024-09-09 17:30:00+00:00,2503.29,2506.625,2499.49,2500.035,3914,True
2024-09-09 18:00:00+00:00,2500.075,2502.205,2499.47,2501.565,3522,True
2024-09-09 18:30:00+00:00,2501.655,2505.35,2501.155,2504.8,2587,True
2024-09-09 19:00:00+00:00,2504.79,2504.815,2502.705,2503.85,2637,True
2024-09-09 19:30:00+00:00,2503.8,2506.18,2502.93,2506.055,2742,True
2024-09-09 20:00:00+00:00,2506.065,2506.315,2505.365,2505.505,1268,True
2024-09-09 20:30:00+00:00,2505.55,2507.265,2505.495,2506.41,1356,True
2024-09-09 22:00:00+00:00,2506.73,2507.0,2505.89,2506.765,417,True
2024-09-09 22:30:00+00:00,2506.795,2507.235,2506.785,2507.15,295,True
2024-09-09 23:00:00+00:00,2507.065,2507.065,2505.79,2506.22,700,True
2024-09-09 23:30:00+00:00,2506.275,2507.74,2506.26,2506.835,936,True
