time,o,h,l,c,volume,complete
2024-09-27 00:00:00+00:00,2672.68,2672.76,2669.92,2671.065,3036,True
2024-09-27 00:30:00+00:00,2671.13,2671.55,2669.38,2669.82,3335,True
2024-09-27 01:00:00+00:00,2669.835,2672.825,2668.735,2671.75,7551,True
2024-09-27 01:30:00+00:00,2671.765,2671.975,2666.295,2669.6,9792,True
2024-09-27 02:00:00+00:00,2669.595,2670.225,2667.275,2669.425,5337,True
2024-09-27 02:30:00+00:00,2669.39,2671.155,2668.39,2669.06,6591,True
2024-09-27 03:00:00+00:00,2669.045,2672.28,2668.755,2671.23,6117,True
2024-09-27 03:30:00+00:00,2671.26,2674.045,2671.245,2673.735,3920,True
2024-09-27 04:00:00+00:00,2673.785,2673.995,2669.92,2670.53,3202,True
2024-09-27 04:30:00+00:00,2670.65,2671.11,2669.425,2670.61,2802,True
2024-09-27 05:00:00+00:00,2670.62,2671.45,2666.715,2666.815,6926,True
2024-09-27 05:30:00+00:00,2666.795,2666.81,2662.415,2664.975,8874,True
2024-09-27 06:00:00+00:00,2665.0,2669.58,2665.0,2667.945,8056,True
2024-09-27 06:30:00+00:00,2667.71,2669.19,2664.095,2665.915,10927,True
2024-09-27 07:00:00+00:00,2666.04,2668.335,2661.26,2662.38,8386,True
2024-09-27 07:30:00+00:00,2662.385,2667.71,2661.085,2664.725,8128,True
2024-09-27 08:00:00+00:00,2664.635,2665.46,2662.78,2662.99,8250,True
2024-09-27 08:30:00+00:00,2662.985,2664.125,2661.895,2662.71,6354,True
2024-09-27 09:00:00+00:00,2662.695,2663.555,2658.45,2660.24,6858,True
2024-09-27 09:30:00+00:00,2660.225,2665.02,2659.32,2663.765,5241,True
2024-09-27 10:00:00+00:00,2663.755,2665.71,2662.115,2663.94,5387,True
2024-09-27 10:30:00+00:00,2663.945,2665.205,2663.7,2664.415,4296,True
2024-09-27 11:00:00+00:00,2664.395,2668.365,2664.355,2667.235,4737,True
2024-09-27 11:30:00+00:00,2667.275,2669.28,2665.585,2666.18,4756,True
2024-09-27 12:00:00+00:00,2666.19,2666.42,2662.41,2665.1,7616,True
2024-09-27 12:30:00+00:00,2665.365,2674.375,2664.315,2670.095,14328,True
2024-09-27 13:00:00+00:00,2670.065,2671.165,2665.24,2666.18,12928,True
2024-09-27 13:30:00+00:00,2666.325,2670.79,2664.115,2666.525,12978,True
2024-09-27 14:00:00+00:00,2666.435,2666.945,2657.72,2661.515,13500,True
2024-09-27 14:30:00+00:00,2661.535,2663.27,2649.45,2649.53,12574,True
2024-09-27 15:00:00+00:00,2649.4,2654.695,2644.765,2654.005,14988,True
2024-09-27 15:30:00+00:00,2653.915,2654.695,2645.37,2649.875,9115,True
2024-09-27 16:00:00+00:00,2649.88,2654.56,2645.995,2652.93,8245,True
2024-09-27 16:30:00+00:00,2652.915,2656.375,2651.595,2651.85,6549,True
2024-09-27 17:00:00+00:00,2651.855,2652.425,2645.08,2646.085,6010,True
2024-09-27 17:30:00+00:00,2646.22,2647.545,2643.155,2645.22,6013,True
2024-09-27 18:00:00+00:00,2645.32,2647.785,2644.11,2645.275,4413,True
2024-09-27 18:30:00+00:00,2645.315,2648.975,2643.525,2648.0,4705,True
2024-09-27 19:00:00+00:00,2648.02,2650.105,2645.72,2649.87,3625,True
2024-09-27 19:30:00+00:00,2649.805,2652.92,2649.48,2652.1,4707,True
2024-09-27 20:00:00+00:00,2652.04,2653.46,2651.255,2652.44,1541,True
2024-09-27 20:30:00+00:00,2652.435,2660.255,2652.07,2658.755,1820,True
