time,o,h,l,c,volume,complete
2024-09-03 00:00:00+00:00,2497.33,2497.755,2496.16,2497.325,1357,True
2024-09-03 00:15:00+00:00,2497.335,2497.625,2496.525,2496.54,1262,True
2024-09-03 00:30:00+00:00,2496.545,2496.795,2495.46,2496.015,1474,True
2024-09-03 00:45:00+00:00,2495.98,2496.245,2495.045,2495.895,1270,True
2024-09-03 01:00:00+00:00,2495.865,2495.97,2491.475,2492.145,3587,True
2024-09-03 01:15:00+00:00,2492.15,2493.155,2489.705,2491.975,3516,True
2024-09-03 01:30:00+00:00,2492.1,2492.675,2490.125,2491.16,2935,True
2024-09-03 01:45:00+00:00,2491.195,2494.63,2490.955,2493.82,2813,True
2024-09-03 02:00:00+00:00,2493.825,2495.495,2492.58,2495.235,3448,True
2024-09-03 02:15:00+00:00,2495.225,2495.585,2493.61,2493.975,2032,True
2024-09-03 02:30:00+00:00,2493.97,2496.46,2492.52,2495.41,2616,True
2024-09-03 02:45:00+00:00,2495.48,2496.47,2494.06,2495.37,2386,True
2024-09-03 03:00:00+00:00,2495.3,2495.8,2494.205,2495.4,2830,True
2024-09-03 03:15:00+00:00,2495.445,2495.935,2494.61,2495.86,2071,True
2024-09-03 03:30:00+00:00,2495.85,2495.85,2493.175,2493.435,1448,True
2024-09-03 03:45:00+00:00,2493.43,2495.365,2493.4,2494.87,1533,True
2024-09-03 04:00:00+00:00,2494.865,2495.205,2493.995,2494.9,1073,True
2024-09-03 04:15:00+00:00,2494.955,2496.88,2494.855,2496.455,1312,True
2024-09-03 04:30:00+00:00,2496.43,2497.025,2495.42,2495.55,1321,True
2024-09-03 04:45:00+00:00,2495.545,2496.645,2495.545,2496.01,1248,True
2024-09-03 05:00:00+00:00,2496.0,2496.0,2494.18,2494.195,1270,True
2024-09-03 05:15:00+00:00,2494.205,2495.85,2493.86,2494.65,1742,True
2024-09-03 05:30:00+00:00,2494.685,2495.93,2493.77,2494.67,3381,True
2024-09-03 05:45:00+00:00,2494.675,2495.81,2492.83,2495.115,2633,True
2024-09-03 06:00:00+00:00,2495.13,2495.56,2492.875,2494.995,3750,True
2024-09-03 06:15:00+00:00,2494.955,2497.31,2494.935,2496.115,2881,True
2024-09-03 06:30:00+00:00,2496.0,2497.28,2494.82,2497.17,3069,True
2024-09-03 06:45:00+00:00,2497.145,2498.935,2496.065,2497.945,3056,True
2024-09-03 07:00:00+00:00,2497.915,2499.255,2496.675,2497.68,2511,True
2024-09-03 07:15:00+00:00,2497.82,2501.075,2497.575,2500.455,3098,True
2024-09-03 07:30:00+00:00,2500.465,2502.11,2499.405,2500.125,3133,True
2024-09-03 07:45:00+00:00,2500.12,2501.58,2499.61,2500.845,3226,True
2024-09-03 08:00:00+00:00,2500.835,2503.36,2500.65,2502.885,3636,True
2024-09-03 08:15:00+00:00,2502.88,2504.775,2502.585,2504.74,2659,True
2024-09-03 08:30:00+00:00,2504.7,2506.35,2504.52,2505.1,2901,True
2024-09-03 08:45:00+00:00,2505.105,2506.13,2503.97,2503.97,2625,True
2024-09-03 09:00:00+00:00,2504.04,2505.065,2503.24,2504.52,2758,True
2024-09-03 09:15:00+00:00,2504.53,2504.53,2502.195,2503.605,2529,True
2024-09-03 09:30:00+00:00,2503.55,2504.65,2502.825,2503.11,2266,True
2024-09-03 09:45:00+00:00,2503.105,2503.105,2500.955,2500.955,2550,True
2024-09-03 10:00:00+00:00,2500.96,2501.065,2498.78,2499.795,3033,True
2024-09-03 10:15:00+00:00,2499.735,2499.795,2494.965,2495.665,3417,True
2024-09-03 10:30:00+00:00,2495.655,2495.82,2492.7,2494.66,3355,True
2024-09-03 10:45:00+00:00,2494.575,2497.525,2494.255,2497.405,2460,True
2024-09-03 11:00:00+00:00,2497.34,2500.025,2497.115,2499.56,2826,True
2024-09-03 11:15:00+00:00,2499.565,2501.645,2494.91,2495.395,3122,True
2024-09-03 11:30:00+00:00,2495.33,2496.275,2492.225,2492.275,2682,True
2024-09-03 11:45:00+00:00,2492.27,2492.275,2484.805,2489.755,5509,True
2024-09-03 12:00:00+00:00,2489.725,2502.305,2487.16,2498.105,6594,True
2024-09-03 12:15:00+00:00,2498.08,2498.67,2492.55,2493.34,4423,True
2024-09-03 12:30:00+00:00,2493.33,2496.535,2492.12,2495.175,5188,True
2024-09-03 12:45:00+00:00,2495.085,2495.88,2492.485,2493.335,4223,True
2024-09-03 13:00:00+00:00,2493.35,2497.75,2492.57,2493.935,6443,True
2024-09-03 13:15:00+00:00,2493.94,2494.355,2491.02,2493.05,4810,True
2024-09-03 13:30:00+00:00,2493.03,2493.96,2480.335,2481.99,7486,True
2024-09-03 13:45:00+00:00,2482.03,2484.37,2475.625,2480.165,7410,True
2024-09-03 14:00:00+00:00,2482.235,2485.705,2476.125,2481.175,8948,True
2024-09-03 14:15:00+00:00,2481.18,2481.865,2473.325,2477.875,6499,True
2024-09-03 14:30:00+00:00,2477.84,2483.14,2477.285,2481.47,5267,True
2024-09-03 14:45:00+00:00,2481.48,2481.835,2477.3,2478.365,4652,True
2024-09-03 15:00:00+00:00,2478.295,2481.865,2477.295,2480.395,4420,True
2024-09-03 15:15:00+00:00,2480.385,2483.04,2478.785,2482.28,3342,True
2024-09-03 15:30:00+00:00,2482.28,2485.15,2482.07,2484.31,2903,True
2024-09-03 15:45:00+00:00,2484.37,2489.59,2484.08,2488.465,3524,True
2024-09-03 16:00:00+00:00,2488.455,2489.075,2485.91,2488.615,2643,True
2024-09-03 16:15:00+00:00,2488.625,2488.78,2486.18,2486.645,1803,True
2024-09-03 16:30:00+00:00,2486.64,2487.175,2485.17,2486.14,1923,True
2024-09-03 16:45:00+00:00,2486.15,2486.53,2484.015,2486.09,1949,True
2024-09-03 17:00:00+00:00,2486.04,2488.175,2485.575,2487.305,1918,True
2024-09-03 17:15:00+00:00,2487.38,2492.065,2487.38,2491.31,2288,True
2024-09-03 17:30:00+00:00,2491.245,2492.0,2489.175,2491.925,1907,True
2024-09-03 17:45:00+00:00,2492.005,2492.11,2489.4,2489.545,1394,True
2024-09-03 18:00:00+00:00,2489.57,2489.575,2487.685,2488.245,1355,True
2024-09-03 18:15:00+00:00,2488.24,2490.055,2487.72,2489.31,1371,True
2024-09-03 18:30:00+00:00,2489.315,2489.465,2487.13,2488.215,1264,True
2024-09-03 18:45:00+00:00,2488.16,2489.53,2487.435,2489.42,1245,True
2024-09-03 19:00:00+00:00,2489.37,2492.63,2489.055,2491.845,1606,True
2024-09-03 19:15:00+00:00,2491.82,2494.115,2491.27,2494.005,1151,True
2024-09-03 19:30:00+00:00,2493.99,2494.43,2491.235,2492.395,1466,True
2024-09-03 19:45:00+00:00,2492.445,2492.91,2491.935,2492.11,1312,True
2024-09-03 20:00:00+00:00,2492.06,2492.47,2491.445,2491.99,806,True
2024-09-03 20:15:00+00:00,2492.04,2492.33,2491.61,2492.01,565,True
2024-09-03 20:30:00+00:00,2492.02,2493.045,2491.76,2492.335,480,True
2024-09-03 20:45:00+00:00,2492.39,2493.3,2491.94,2492.95,677,True
2024-09-03 22:00:00+00:00,2492.62,2492.91,2492.1,2492.525,224,True
2024-09-03 22:15:00+00:00,2492.52,2493.24,2492.32,2493.165,270,True
2024-09-03 22:30:00+00:00,2493.215,2494.54,2492.825,2493.625,674,True
2024-09-03 22:45:00+00:00,2493.61,2493.82,2493.11,2493.19,311,True
2024-09-03 23:00:00+00:00,2493.265,2493.28,2492.35,2492.97,315,True
2024-09-03 23:15:00+00:00,2493.03,2494.765,2492.895,2494.34,565,True
2024-09-03 23:30:00+00:00,2494.345,2494.52,2493.745,2493.9,584,True
2024-09-03 23:45:00+00:00,2493.895,2494.035,2492.71,2493.395,756,True
