time,o,h,l,c,volume,complete
2024-09-20 00:00:00+00:00,2587.285,2587.44,2586.145,2586.815,1144,True
2024-09-20 00:15:00+00:00,2586.78,2587.575,2586.715,2587.49,1038,True
2024-09-20 00:30:00+00:00,2587.465,2588.41,2586.785,2588.11,1428,True
2024-09-20 00:45:00+00:00,2588.105,2588.565,2587.585,2588.125,1267,True
2024-09-20 01:00:00+00:00,2588.13,2588.91,2587.005,2587.835,2847,True
2024-09-20 01:15:00+00:00,2587.855,2588.13,2584.875,2585.39,2507,True
2024-09-20 01:30:00+00:00,2585.345,2588.32,2585.175,2587.975,3798,True
2024-09-20 01:45:00+00:00,2587.99,2589.555,2587.125,2588.32,2987,True
2024-09-20 02:00:00+00:00,2588.305,2590.035,2587.455,2589.69,1959,True
2024-09-20 02:15:00+00:00,2589.67,2590.055,2588.655,2589.015,858,True
2024-09-20 02:30:00+00:00,2589.005,2592.365,2589.005,2591.085,2787,True
2024-09-20 02:45:00+00:00,2591.09,2592.64,2590.6,2591.655,2730,True
2024-09-20 03:00:00+00:00,2591.62,2593.685,2591.575,2591.8,3379,True
2024-09-20 03:15:00+00:00,2591.785,2593.68,2591.655,2592.68,3531,True
2024-09-20 03:30:00+00:00,2592.665,2593.025,2591.075,2593.025,1964,True
2024-09-20 03:45:00+00:00,2593.03,2593.03,2591.43,2591.52,1682,True
2024-09-20 04:00:00+00:00,2591.525,2594.145,2591.47,2592.715,1636,True
2024-09-20 04:15:00+00:00,2592.665,2593.62,2592.14,2593.535,751,True
2024-09-20 04:30:00+00:00,2593.455,2594.185,2592.975,2593.995,1031,True
2024-09-20 04:45:00+00:00,2593.99,2594.44,2592.795,2593.83,840,True
2024-09-20 05:00:00+00:00,2593.87,2593.935,2592.52,2592.705,896,True
2024-09-20 05:15:00+00:00,2592.675,2593.465,2592.505,2593.2,1049,True
2024-09-20 05:30:00+00:00,2593.19,2594.995,2592.76,2594.11,2633,True
2024-09-20 05:45:00+00:00,2594.105,2595.25,2593.76,2594.6,1575,True
2024-09-20 06:00:00+00:00,2594.59,2598.095,2594.365,2597.355,2492,True
2024-09-20 06:15:00+00:00,2597.36,2599.805,2596.565,2599.645,2680,True
2024-09-20 06:30:00+00:00,2599.705,2600.26,2597.535,2599.88,3933,True
2024-09-20 06:45:00+00:00,2599.885,2607.09,2599.69,2605.545,6258,True
2024-09-20 07:00:00+00:00,2605.53,2609.79,2605.035,2608.065,4590,True
2024-09-20 07:15:00+00:00,2608.09,2609.005,2606.29,2607.04,3805,True
2024-09-20 07:30:00+00:00,2607.045,2607.865,2605.52,2605.76,3006,True
2024-09-20 07:45:00+00:00,2605.785,2608.155,2604.81,2607.19,3375,True
2024-09-20 08:00:00+00:00,2607.13,2607.725,2605.565,2606.47,3240,True
2024-09-20 08:15:00+00:00,2606.475,2609.45,2605.535,2609.425,3563,True
2024-09-20 08:30:00+00:00,2609.43,2612.77,2609.345,2612.485,3622,True
2024-09-20 08:45:00+00:00,2612.48,2612.56,2609.5,2609.815,2569,True
2024-09-20 09:00:00+00:00,2609.82,2610.61,2608.815,2609.16,2312,True
2024-09-20 09:15:00+00:00,2609.185,2609.77,2607.025,2607.85,2216,True
2024-09-20 09:30:00+00:00,2607.865,2608.27,2605.705,2606.025,2170,True
2024-09-20 09:45:00+00:00,2606.035,2607.005,2602.52,2606.38,3193,True
2024-09-20 10:00:00+00:00,2606.44,2608.935,2606.305,2608.24,2832,True
2024-09-20 10:15:00+00:00,2608.17,2608.935,2606.535,2608.38,2317,True
2024-09-20 10:30:00+00:00,2608.375,2610.72,2608.335,2610.355,3369,True
2024-09-20 10:45:00+00:00,2610.37,2614.265,2610.37,2613.305,3243,True
2024-09-20 11:00:00+00:00,2613.325,2615.255,2612.125,2612.135,3198,True
2024-09-20 11:15:00+00:00,2612.205,2613.225,2611.025,2611.14,2671,True
2024-09-20 11:30:00+00:00,2611.175,2615.515,2610.345,2614.725,3939,True
2024-09-20 11:45:00+00:00,2614.73,2615.09,2613.43,2613.78,2917,True
2024-09-20 12:00:00+00:00,2613.82,2616.565,2613.515,2615.63,4139,True
2024-09-20 12:15:00+00:00,2615.64,2619.395,2614.83,2617.57,4985,True
2024-09-20 12:30:00+00:00,2617.565,2618.51,2614.605,2616.875,4278,True
2024-09-20 12:45:00+00:00,2616.88,2617.94,2615.045,2615.63,4443,True
2024-09-20 13:00:00+00:00,2615.605,2616.59,2609.425,2609.475,7492,True
2024-09-20 13:15:00+00:00,2609.435,2614.195,2609.235,2609.475,6064,True
2024-09-20 13:30:00+00:00,2609.565,2611.71,2604.745,2605.16,8321,True
2024-09-20 13:45:00+00:00,2605.255,2608.09,2602.665,2606.705,7332,True
2024-09-20 14:00:00+00:00,2606.7,2611.61,2604.765,2608.135,7022,True
2024-09-20 14:15:00+00:00,2608.14,2613.62,2607.165,2613.525,7272,True
2024-09-20 14:30:00+00:00,2613.53,2615.67,2612.03,2614.615,5978,True
2024-09-20 14:45:00+00:00,2614.625,2617.235,2613.425,2614.07,6297,True
2024-09-20 15:00:00+00:00,2614.14,2618.6,2613.505,2614.015,5451,True
2024-09-20 15:15:00+00:00,2614.01,2615.415,2611.265,2611.915,5635,True
2024-09-20 15:30:00+00:00,2611.92,2622.865,2611.37,2622.395,6427,True
2024-09-20 15:45:00+00:00,2622.39,2623.05,2619.81,2622.895,6060,True
2024-09-20 16:00:00+00:00,2622.905,2624.655,2619.825,2623.75,4052,True
2024-09-20 16:15:00+00:00,2623.77,2625.2,2622.425,2623.23,3330,True
2024-09-20 16:30:00+00:00,2623.225,2625.22,2622.72,2624.68,2920,True
