time,o,h,l,c,volume,complete
2024-09-26 00:00:00+00:00,2656.435,2657.32,2655.485,2655.615,1837,True
2024-09-26 00:15:00+00:00,2655.6,2657.81,2655.52,2657.77,1213,True
2024-09-26 00:30:00+00:00,2657.78,2659.555,2657.67,2659.15,1309,True
2024-09-26 00:45:00+00:00,2659.14,2660.44,2658.24,2659.11,1651,True
2024-09-26 01:00:00+00:00,2659.12,2660.99,2658.68,2660.69,2788,True
2024-09-26 01:15:00+00:00,2660.71,2660.895,2657.785,2658.79,1921,True
2024-09-26 01:30:00+00:00,2658.835,2659.95,2657.815,2659.43,2888,True
2024-09-26 01:45:00+00:00,2659.435,2661.53,2658.66,2660.835,3577,True
2024-09-26 02:00:00+00:00,2660.925,2660.925,2658.81,2659.445,2642,True
2024-09-26 02:15:00+00:00,2659.45,2661.58,2658.845,2661.515,1349,True
2024-09-26 02:30:00+00:00,2661.615,2661.66,2658.76,2659.48,2534,True
2024-09-26 02:45:00+00:00,2659.415,2659.415,2657.165,2658.245,2581,True
2024-09-26 03:00:00+00:00,2658.18,2660.025,2657.81,2659.8,2479,True
2024-09-26 03:15:00+00:00,2659.785,2661.885,2659.675,2661.025,2149,True
2024-09-26 03:30:00+00:00,2660.955,2661.91,2660.42,2660.525,838,True
2024-09-26 03:45:00+00:00,2660.52,2662.575,2660.375,2662.575,1214,True
2024-09-26 04:00:00+00:00,2662.6,2662.945,2660.775,2661.39,1253,True
2024-09-26 04:15:00+00:00,2661.395,2662.37,2661.38,2661.92,1179,True
2024-09-26 04:30:00+00:00,2661.895,2661.945,2660.73,2661.015,793,True
2024-09-26 04:45:00+00:00,2661.03,2661.355,2660.26,2660.75,1026,True
2024-09-26 05:00:00+00:00,2660.745,2662.13,2659.825,2662.005,1810,True
2024-09-26 05:15:00+00:00,2662.005,2663.37,2661.585,2663.37,3088,True
2024-09-26 05:30:00+00:00,2663.375,2663.495,2660.695,2662.565,3974,True
2024-09-26 05:45:00+00:00,2662.61,2663.305,2660.135,2661.49,3188,True
2024-09-26 06:00:00+00:00,2661.365,2661.69,2658.345,2658.69,3285,True
2024-09-26 06:15:00+00:00,2658.685,2661.64,2658.05,2661.095,3546,True
2024-09-26 06:30:00+00:00,2661.1,2661.99,2660.425,2661.275,3134,True
2024-09-26 06:45:00+00:00,2661.175,2662.7,2661.025,2661.79,3082,True
2024-09-26 07:00:00+00:00,2661.795,2664.135,2660.57,2660.73,4084,True
2024-09-26 07:15:00+00:00,2660.745,2662.265,2659.555,2661.945,2838,True
2024-09-26 07:30:00+00:00,2661.895,2664.115,2661.065,2663.945,3116,True
2024-09-26 07:45:00+00:00,2663.9,2666.94,2663.59,2664.705,3728,True
2024-09-26 08:00:00+00:00,2664.68,2667.805,2664.68,2666.27,3100,True
2024-09-26 08:15:00+00:00,2666.265,2669.645,2666.135,2669.045,4013,True
2024-09-26 08:30:00+00:00,2669.03,2670.56,2668.755,2669.13,3122,True
2024-09-26 08:45:00+00:00,2669.125,2669.82,2667.415,2669.095,3590,True
2024-09-26 09:00:00+00:00,2669.1,2669.325,2667.455,2668.125,2834,True
2024-09-26 09:15:00+00:00,2668.07,2669.905,2667.765,2668.845,3234,True
2024-09-26 09:30:00+00:00,2668.84,2669.43,2666.985,2668.005,3042,True
2024-09-26 09:45:00+00:00,2668.0,2669.12,2667.465,2668.945,1928,True
2024-09-26 10:00:00+00:00,2668.935,2669.775,2667.565,2669.38,2295,True
2024-09-26 10:15:00+00:00,2669.385,2673.73,2668.835,2670.225,3641,True
2024-09-26 10:30:00+00:00,2670.21,2674.24,2669.895,2674.175,3617,True
2024-09-26 10:45:00+00:00,2674.195,2675.735,2672.695,2672.715,3771,True
2024-09-26 11:00:00+00:00,2672.7,2679.175,2672.33,2678.36,4552,True
2024-09-26 11:15:00+00:00,2678.52,2680.17,2676.285,2678.13,4274,True
2024-09-26 11:30:00+00:00,2678.275,2685.64,2678.085,2682.305,4791,True
2024-09-26 11:45:00+00:00,2682.295,2685.49,2681.91,2682.88,4064,True
2024-09-26 12:00:00+00:00,2682.885,2684.25,2673.285,2677.155,5558,True
2024-09-26 12:15:00+00:00,2677.14,2680.095,2674.575,2678.77,3841,True
2024-09-26 12:30:00+00:00,2678.67,2679.245,2668.625,2673.585,8212,True
2024-09-26 12:45:00+00:00,2673.415,2680.095,2672.895,2677.33,7967,True
2024-09-26 13:00:00+00:00,2677.32,2679.725,2663.685,2664.02,8855,True
2024-09-26 13:15:00+00:00,2663.93,2668.005,2659.485,2667.995,8015,True
2024-09-26 13:30:00+00:00,2667.975,2669.585,2660.04,2663.7,8637,True
2024-09-26 13:45:00+00:00,2663.76,2664.975,2654.84,2660.87,7878,True
2024-09-26 14:00:00+00:00,2660.935,2667.19,2659.77,2666.405,6754,True
2024-09-26 14:15:00+00:00,2666.415,2668.795,2663.03,2664.67,5917,True
2024-09-26 14:30:00+00:00,2664.765,2669.65,2664.265,2665.48,5935,True
2024-09-26 14:45:00+00:00,2665.52,2667.985,2665.085,2665.905,5677,True
2024-09-26 15:00:00+00:00,2665.89,2667.505,2662.515,2666.34,5843,True
2024-09-26 15:15:00+00:00,2666.36,2670.335,2665.07,2669.905,4940,True
2024-09-26 15:30:00+00:00,2669.935,2673.175,2669.395,2672.25,3448,True
2024-09-26 15:45:00+00:00,2672.245,2672.875,2670.085,2671.46,3977,True
2024-09-26 16:00:00+00:00,2671.495,2672.545,2663.005,2664.28,5647,True
2024-09-26 16:15:00+00:00,2664.38,2669.175,2664.38,2667.625,3338,True
2024-09-26 16:30:00+00:00,2667.59,2669.26,2666.76,2668.805,2776,True
2024-09-26 16:45:00+00:00,2668.8,2670.805,2667.585,2668.265,3292,True
2024-09-26 17:00:00+00:00,2668.18,2671.745,2667.725,2671.365,2932,True
2024-09-26 17:15:00+00:00,2671.305,2672.32,2668.37,2671.965,3064,True
2024-09-26 17:30:00+00:00,2671.975,2671.975,2669.68,2670.945,3010,True
2024-09-26 17:45:00+00:00,2670.945,2671.8,2670.17,2670.985,1770,True
2024-09-26 18:00:00+00:00,2671.005,2673.71,2670.155,2673.27,1983,True
2024-09-26 18:15:00+00:00,2673.25,2675.495,2673.24,2674.49,2280,True
2024-09-26 18:30:00+00:00,2674.485,2676.715,2673.25,2676.305,1620,True
2024-09-26 18:45:00+00:00,2676.285,2677.16,2675.27,2675.98,1899,True
2024-09-26 19:00:00+00:00,2676.02,2677.88,2675.825,2677.105,2041,True
2024-09-26 19:15:00+00:00,2677.19,2677.39,2674.235,2674.78,1421,True
2024-09-26 19:30:00+00:00,2674.785,2674.99,2672.35,2674.035,1436,True
2024-09-26 19:45:00+00:00,2674.015,2674.548,2672.35,2673.73,1698,True
2024-09-26 20:00:00+00:00,2673.785,2674.1,2671.2,2671.3,793,True
2024-09-26 20:15:00+00:00,2671.375,2672.375,2670.91,2672.165,415,True
2024-09-26 20:30:00+00:00,2672.13,2672.995,2671.905,2672.25,555,True
2024-09-26 20:45:00+00:00,2672.22,2672.85,2671.955,2672.435,537,True
2024-09-26 22:00:00+00:00,2672.235,2672.49,2671.795,2672.49,202,True
2024-09-26 22:15:00+00:00,2672.515,2673.29,2672.11,2672.91,348,True
2024-09-26 22:30:00+00:00,2672.915,2672.92,2672.49,2672.595,169,True
2024-09-26 22:45:00+00:00,2672.635,2672.825,2672.39,2672.45,248,True
2024-09-26 23:00:00+00:00,2672.535,2672.54,2672.065,2672.445,325,True
2024-09-26 23:15:00+00:00,2672.365,2672.62,2672.055,2672.3,315,True
2024-09-26 23:30:00+00:00,2672.335,2673.295,2672.205,2673.095,503,True
2024-09-26 23:45:00+00:00,2673.08,2673.09,2672.11,2672.705,1200,True
