time,o,h,l,c,volume,complete
2024-09-24 00:00:00+00:00,2626.425,2626.455,2624.745,2626.275,1726,True
2024-09-24 00:15:00+00:00,2626.285,2626.64,2625.075,2625.87,1287,True
2024-09-24 00:30:00+00:00,2625.865,2626.095,2625.15,2625.165,921,True
2024-09-24 00:45:00+00:00,2625.17,2625.515,2623.87,2625.26,1581,True
2024-09-24 01:00:00+00:00,2625.3,2629.825,2624.995,2629.125,5096,True
2024-09-24 01:15:00+00:00,2629.115,2630.24,2627.52,2627.975,3970,True
2024-09-24 01:30:00+00:00,2628.005,2630.09,2627.33,2630.09,3406,True
2024-09-24 01:45:00+00:00,2630.015,2630.195,2628.21,2629.145,3020,True
2024-09-24 02:00:00+00:00,2629.13,2629.295,2626.875,2627.615,3304,True
2024-09-24 02:15:00+00:00,2627.645,2628.1,2627.14,2627.555,1693,True
2024-09-24 02:30:00+00:00,2627.49,2628.815,2627.23,2628.75,2294,True
2024-09-24 02:45:00+00:00,2628.71,2629.39,2627.475,2628.98,2739,True
2024-09-24 03:00:00+00:00,2628.975,2630.275,2628.87,2629.975,3346,True
2024-09-24 03:15:00+00:00,2629.895,2632.335,2629.895,2632.2,3082,True
2024-09-24 03:30:00+00:00,2632.215,2636.16,2632.075,2634.815,2878,True
2024-09-24 03:45:00+00:00,2634.8,2635.595,2634.045,2634.125,1877,True
2024-09-24 04:00:00+00:00,2634.115,2634.585,2632.09,2633.525,2113,True
2024-09-24 04:15:00+00:00,2633.54,2636.38,2633.12,2635.88,1849,True
2024-09-24 04:30:00+00:00,2635.885,2636.8,2634.88,2636.605,2072,True
2024-09-24 04:45:00+00:00,2636.535,2638.35,2635.835,2638.175,1748,True
2024-09-24 05:00:00+00:00,2638.185,2638.86,2636.8,2638.305,1879,True
2024-09-24 05:15:00+00:00,2638.31,2640.18,2637.88,2638.02,2430,True
2024-09-24 05:30:00+00:00,2638.04,2639.955,2633.21,2633.325,4863,True
