time,o,h,l,c,volume,complete
2024-09-03 00:00:00+00:00,2497.33,2497.755,2496.87,2497.365,684,True
2024-09-03 00:05:00+00:00,2497.35,2497.35,2496.43,2496.52,325,True
2024-09-03 00:10:00+00:00,2496.515,2497.345,2496.16,2497.325,348,True
2024-09-03 00:15:00+00:00,2497.335,2497.335,2496.715,2497.04,418,True
2024-09-03 00:20:00+00:00,2497.055,2497.625,2496.875,2497.275,431,True
2024-09-03 00:25:00+00:00,2497.27,2497.29,2496.525,2496.54,413,True
2024-09-03 00:30:00+00:00,2496.545,2496.795,2495.86,2496.425,549,True
2024-09-03 00:35:00+00:00,2496.435,2496.465,2495.46,2496.23,658,True
2024-09-03 00:40:00+00:00,2496.235,2496.43,2495.895,2496.015,267,True
2024-09-03 00:45:00+00:00,2495.98,2496.045,2495.145,2495.67,284,True
2024-09-03 00:50:00+00:00,2495.59,2496.085,2495.045,2496.085,538,True
2024-09-03 00:55:00+00:00,2496.14,2496.245,2495.46,2495.895,448,True
2024-09-03 01:00:00+00:00,2495.865,2495.97,2494.75,2494.885,1029,True
2024-09-03 01:05:00+00:00,2494.87,2495.025,2494.42,2494.515,988,True
2024-09-03 01:10:00+00:00,2494.52,2494.715,2491.475,2492.145,1570,True
2024-09-03 01:15:00+00:00,2492.15,2493.15,2491.615,2492.225,1262,True
2024-09-03 01:20:00+00:00,2492.275,2493.155,2490.85,2491.895,1141,True
2024-09-03 01:25:00+00:00,2491.83,2492.38,2489.705,2491.975,1113,True
2024-09-03 01:30:00+00:00,2492.1,2492.525,2490.92,2491.43,1000,True
2024-09-03 01:35:00+00:00,2491.45,2492.17,2491.205,2491.865,967,True
2024-09-03 01:40:00+00:00,2491.87,2492.675,2490.125,2491.16,968,True
2024-09-03 01:45:00+00:00,2491.195,2493.445,2490.955,2493.09,895,True
2024-09-03 01:50:00+00:00,2493.1,2494.58,2493.1,2494.0,853,True
2024-09-03 01:55:00+00:00,2494.035,2494.63,2493.395,2493.82,1065,True
2024-09-03 02:00:00+00:00,2493.825,2494.06,2492.64,2493.13,1031,True
2024-09-03 02:05:00+00:00,2493.135,2494.97,2492.58,2494.95,1124,True
2024-09-03 02:10:00+00:00,2494.98,2495.495,2494.47,2495.235,1293,True
2024-09-03 02:15:00+00:00,2495.225,2495.585,2494.88,2495.44,599,True
2024-09-03 02:20:00+00:00,2495.465,2495.555,2493.995,2494.41,663,True
2024-09-03 02:25:00+00:00,2494.425,2494.575,2493.61,2493.975,770,True
2024-09-03 02:30:00+00:00,2493.97,2494.82,2492.52,2494.81,1019,True
2024-09-03 02:35:00+00:00,2494.83,2495.375,2494.6,2494.94,782,True
2024-09-03 02:40:00+00:00,2495.04,2496.46,2494.71,2495.41,815,True
2024-09-03 02:45:00+00:00,2495.48,2496.47,2495.19,2495.19,973,True
2024-09-03 02:50:00+00:00,2495.165,2495.19,2494.06,2494.89,733,True
2024-09-03 02:55:00+00:00,2494.92,2495.44,2494.655,2495.37,680,True
2024-09-03 03:00:00+00:00,2495.3,2495.8,2494.895,2495.45,975,True
2024-09-03 03:05:00+00:00,2495.43,2495.6,2494.485,2494.83,963,True
2024-09-03 03:10:00+00:00,2494.8,2495.61,2494.205,2495.4,892,True
2024-09-03 03:15:00+00:00,2495.445,2495.445,2494.69,2495.145,722,True
2024-09-03 03:20:00+00:00,2495.15,2495.54,2494.61,2495.175,683,True
2024-09-03 03:25:00+00:00,2495.245,2495.935,2494.945,2495.86,666,True
2024-09-03 03:30:00+00:00,2495.85,2495.85,2494.11,2494.81,536,True
2024-09-03 03:35:00+00:00,2494.715,2495.32,2493.66,2494.0,505,True
2024-09-03 03:40:00+00:00,2494.005,2494.105,2493.175,2493.435,407,True
2024-09-03 03:45:00+00:00,2493.43,2494.095,2493.4,2493.985,445,True
2024-09-03 03:50:00+00:00,2493.99,2495.36,2493.975,2495.3,621,True
2024-09-03 03:55:00+00:00,2495.295,2495.365,2494.755,2494.87,467,True
2024-09-03 04:00:00+00:00,2494.865,2495.205,2494.535,2494.765,357,True
2024-09-03 04:05:00+00:00,2494.76,2494.88,2493.995,2494.72,439,True
2024-09-03 04:10:00+00:00,2494.725,2495.01,2494.335,2494.9,277,True
2024-09-03 04:15:00+00:00,2494.955,2495.415,2494.855,2495.1,325,True
2024-09-03 04:20:00+00:00,2495.105,2495.99,2495.0,2495.785,527,True
2024-09-03 04:25:00+00:00,2495.82,2496.88,2495.13,2496.455,460,True
2024-09-03 04:30:00+00:00,2496.43,2497.025,2496.08,2496.94,446,True
2024-09-03 04:35:00+00:00,2496.955,2497.015,2496.14,2496.21,326,True
2024-09-03 04:40:00+00:00,2496.2,2496.205,2495.42,2495.55,549,True
2024-09-03 04:45:00+00:00,2495.545,2496.25,2495.545,2496.25,396,True
2024-09-03 04:50:00+00:00,2496.185,2496.645,2495.935,2495.935,455,True
2024-09-03 04:55:00+00:00,2495.92,2496.245,2495.815,2496.01,397,True
2024-09-03 05:00:00+00:00,2496.0,2496.0,2495.385,2495.62,346,True
2024-09-03 05:05:00+00:00,2495.64,2495.69,2494.48,2494.825,456,True
2024-09-03 05:10:00+00:00,2494.745,2494.745,2494.18,2494.195,468,True
2024-09-03 05:15:00+00:00,2494.205,2495.175,2493.86,2495.06,628,True
2024-09-03 05:20:00+00:00,2495.06,2495.85,2494.98,2495.125,558,True
2024-09-03 05:25:00+00:00,2495.13,2495.425,2494.44,2494.65,556,True
2024-09-03 05:30:00+00:00,2494.685,2495.93,2494.58,2495.325,1196,True
2024-09-03 05:35:00+00:00,2495.32,2495.375,2493.77,2494.165,1132,True
