time,o,h,l,c,volume,complete
2024-09-04 00:00:00+00:00,2493.35,2495.05,2492.87,2493.705,1240,True
2024-09-04 00:10:00+00:00,2493.715,2494.475,2492.83,2494.375,1121,True
2024-09-04 00:20:00+00:00,2494.37,2494.62,2492.98,2493.37,995,True
2024-09-04 00:30:00+00:00,2493.29,2494.085,2492.325,2493.63,811,True
2024-09-04 00:40:00+00:00,2493.69,2494.65,2492.34,2493.92,1777,True
2024-09-04 00:50:00+00:00,2493.91,2493.915,2492.24,2492.395,1769,True
2024-09-04 01:00:00+00:00,2492.36,2492.96,2491.825,2492.075,2189,True
2024-09-04 01:10:00+00:00,2492.11,2493.74,2491.735,2493.62,1531,True
2024-09-04 01:20:00+00:00,2493.66,2493.925,2491.44,2493.79,1576,True
2024-09-04 01:30:00+00:00,2493.86,2494.33,2492.16,2493.805,2124,True
2024-09-04 01:40:00+00:00,2493.725,2494.53,2492.465,2492.5,1485,True
2024-09-04 01:50:00+00:00,2492.47,2493.73,2491.995,2493.475,1489,True
2024-09-04 02:00:00+00:00,2493.48,2493.98,2492.51,2492.88,1965,True
2024-09-04 02:10:00+00:00,2492.855,2493.69,2492.825,2493.295,1077,True
2024-09-04 02:20:00+00:00,2493.29,2493.78,2492.685,2493.46,767,True
2024-09-04 02:30:00+00:00,2493.45,2496.985,2493.45,2496.375,1679,True
2024-09-04 02:40:00+00:00,2496.325,2496.845,2495.285,2495.585,1391,True
2024-09-04 02:50:00+00:00,2495.615,2495.66,2494.71,2495.375,1094,True
2024-09-04 03:00:00+00:00,2495.35,2496.605,2495.14,2495.25,1248,True
2024-09-04 03:10:00+00:00,2495.22,2496.44,2495.22,2495.395,1068,True
2024-09-04 03:20:00+00:00,2495.4,2495.47,2494.365,2494.365,603,True
2024-09-04 03:30:00+00:00,2494.42,2494.675,2493.56,2494.4,461,True
2024-09-04 03:40:00+00:00,2494.395,2494.975,2493.82,2494.715,331,True
2024-09-04 03:50:00+00:00,2494.775,2495.575,2494.575,2495.12,504,True
2024-09-04 04:00:00+00:00,2495.13,2495.65,2494.53,2495.53,430,True
2024-09-04 04:10:00+00:00,2495.565,2495.74,2495.21,2495.71,304,True
2024-09-04 04:20:00+00:00,2495.645,2495.72,2494.625,2494.98,356,True
2024-09-04 04:30:00+00:00,2494.99,2495.5,2494.575,2495.395,378,True
2024-09-04 04:40:00+00:00,2495.39,2496.825,2495.29,2495.985,616,True
2024-09-04 04:50:00+00:00,2495.9,2496.01,2495.27,2495.995,618,True
2024-09-04 05:00:00+00:00,2495.99,2496.15,2495.435,2495.485,768,True
2024-09-04 05:10:00+00:00,2495.52,2495.555,2494.515,2495.025,972,True
2024-09-04 05:20:00+00:00,2495.065,2495.965,2494.775,2495.85,939,True
2024-09-04 05:30:00+00:00,2495.835,2496.68,2494.25,2495.265,1664,True
2024-09-04 05:40:00+00:00,2495.26,2495.61,2494.005,2494.01,1552,True
2024-09-04 05:50:00+00:00,2493.975,2494.825,2492.805,2493.195,1436,True
2024-09-04 06:00:00+00:00,2493.215,2493.48,2492.31,2492.6,2014,True
2024-09-04 06:10:00+00:00,2492.595,2492.6,2491.445,2492.23,1630,True
2024-09-04 06:20:00+00:00,2492.205,2492.205,2489.54,2489.54,1594,True
2024-09-04 06:30:00+00:00,2489.535,2489.8,2485.64,2487.265,3054,True
2024-09-04 06:40:00+00:00,2487.295,2488.115,2485.1,2485.29,2613,True
2024-09-04 06:50:00+00:00,2485.3,2486.725,2483.775,2484.365,2569,True
2024-09-04 07:00:00+00:00,2484.315,2487.415,2484.055,2486.045,2119,True
2024-09-04 07:10:00+00:00,2486.055,2488.315,2485.42,2485.56,1962,True
2024-09-04 07:20:00+00:00,2485.555,2485.935,2483.435,2483.785,1785,True
2024-09-04 07:30:00+00:00,2483.82,2486.175,2483.53,2484.41,1521,True
2024-09-04 07:40:00+00:00,2484.425,2484.85,2482.84,2484.305,1480,True
2024-09-04 07:50:00+00:00,2484.295,2485.02,2482.0,2482.175,1751,True
2024-09-04 08:00:00+00:00,2482.145,2483.415,2480.4,2482.885,2187,True
2024-09-04 08:10:00+00:00,2482.92,2483.035,2480.14,2480.165,1639,True
2024-09-04 08:20:00+00:00,2480.25,2481.53,2479.045,2480.86,1652,True
2024-09-04 08:30:00+00:00,2480.855,2481.79,2477.24,2478.02,2674,True
2024-09-04 08:40:00+00:00,2478.085,2478.53,2475.655,2476.065,2161,True
2024-09-04 08:50:00+00:00,2476.06,2476.505,2472.61,2473.35,2398,True
2024-09-04 09:00:00+00:00,2473.43,2476.375,2471.915,2476.15,2572,True
2024-09-04 09:10:00+00:00,2476.235,2476.36,2473.55,2474.65,1951,True
2024-09-04 09:20:00+00:00,2474.835,2475.465,2473.44,2474.435,2032,True
2024-09-04 09:30:00+00:00,2474.425,2478.98,2474.265,2478.77,1572,True
2024-09-04 09:40:00+00:00,2478.72,2481.05,2478.425,2480.69,1594,True
2024-09-04 09:50:00+00:00,2480.705,2483.37,2480.67,2481.7,2253,True
2024-09-04 10:00:00+00:00,2481.665,2484.35,2481.17,2483.835,1753,True
2024-09-04 10:10:00+00:00,2483.84,2484.385,2482.55,2483.805,1333,True
2024-09-04 10:20:00+00:00,2483.785,2485.605,2483.375,2484.395,1903,True
2024-09-04 10:30:00+00:00,2484.39,2487.995,2484.335,2487.75,1808,True
2024-09-04 10:40:00+00:00,2487.785,2490.065,2487.45,2489.2,1577,True
2024-09-04 10:50:00+00:00,2489.215,2489.615,2488.185,2489.06,1704,True
2024-09-04 11:00:00+00:00,2489.065,2490.21,2487.58,2488.815,2121,True
2024-09-04 11:10:00+00:00,2488.87,2491.285,2487.855,2488.47,1672,True
2024-09-04 11:20:00+00:00,2488.435,2491.065,2487.985,2491.045,1548,True
2024-09-04 11:30:00+00:00,2491.065,2491.225,2486.79,2488.415,1909,True
2024-09-04 11:40:00+00:00,2488.425,2489.365,2487.715,2488.995,1133,True
2024-09-04 11:50:00+00:00,2489.03,2489.65,2488.715,2489.27,1456,True
2024-09-04 12:00:00+00:00,2489.275,2490.795,2488.325,2490.72,2362,True
2024-09-04 12:10:00+00:00,2490.755,2491.075,2488.555,2488.93,2387,True
2024-09-04 12:20:00+00:00,2489.035,2489.83,2486.335,2486.865,2252,True
