time,o,h,l,c,volume,complete
2024-09-23 00:00:00+00:00,2620.28,2620.28,2619.76,2620.07,119,True
2024-09-23 00:01:00+00:00,2620.075,2620.275,2619.98,2620.27,106,True
2024-09-23 00:02:00+00:00,2620.185,2620.185,2619.665,2619.68,77,True
2024-09-23 00:03:00+00:00,2619.84,2619.99,2619.455,2619.505,102,True
2024-09-23 00:04:00+00:00,2619.515,2619.755,2619.43,2619.455,78,True
2024-09-23 00:05:00+00:00,2619.42,2619.435,2619.12,2619.12,57,True
2024-09-23 00:06:00+00:00,2619.105,2619.34,2619.105,2619.325,67,True
2024-09-23 00:07:00+00:00,2619.32,2619.53,2619.315,2619.455,66,True
2024-09-23 00:08:00+00:00,2619.465,2619.475,2619.11,2619.14,69,True
2024-09-23 00:09:00+00:00,2619.16,2619.22,2618.865,2618.925,73,True
2024-09-23 00:10:00+00:00,2618.92,2619.425,2618.905,2619.425,63,True
2024-09-23 00:11:00+00:00,2619.44,2619.46,2619.215,2619.295,61,True
2024-09-23 00:12:00+00:00,2619.285,2619.575,2619.125,2619.175,95,True
2024-09-23 00:13:00+00:00,2619.255,2619.51,2619.255,2619.505,52,True
2024-09-23 00:14:00+00:00,2619.585,2619.6,2619.205,2619.205,47,True
2024-09-23 00:15:00+00:00,2619.155,2619.405,2619.145,2619.23,39,True
2024-09-23 00:16:00+00:00,2619.235,2619.31,2619.11,2619.225,48,True
2024-09-23 00:17:00+00:00,2619.205,2619.3,2619.1,2619.265,43,True
2024-09-23 00:18:00+00:00,2619.25,2619.625,2619.235,2619.6,42,True
2024-09-23 00:19:00+00:00,2619.57,2619.905,2619.57,2619.79,69,True
2024-09-23 00:20:00+00:00,2619.735,2619.905,2619.735,2619.81,43,True
2024-09-23 00:21:00+00:00,2619.805,2619.905,2619.715,2619.815,41,True
2024-09-23 00:22:00+00:00,2619.81,2619.965,2619.59,2619.72,62,True
2024-09-23 00:23:00+00:00,2619.71,2619.73,2619.505,2619.605,55,True
2024-09-23 00:24:00+00:00,2619.62,2619.665,2619.59,2619.625,43,True
2024-09-23 00:25:00+00:00,2619.62,2619.625,2619.385,2619.51,54,True
2024-09-23 00:26:00+00:00,2619.585,2619.835,2619.585,2619.8,36,True
2024-09-23 00:27:00+00:00,2619.79,2619.8,2619.66,2619.77,39,True
2024-09-23 00:28:00+00:00,2619.745,2620.295,2619.745,2620.17,69,True
2024-09-23 00:29:00+00:00,2620.175,2620.185,2619.97,2620.105,49,True
2024-09-23 00:30:00+00:00,2620.11,2620.14,2620.0,2620.065,42,True
2024-09-23 00:31:00+00:00,2620.055,2620.465,2620.055,2620.27,36,True
2024-09-23 00:32:00+00:00,2620.28,2620.305,2620.105,2620.12,32,True
2024-09-23 00:33:00+00:00,2620.09,2620.105,2619.785,2619.8,60,True
2024-09-23 00:34:00+00:00,2619.795,2619.8,2619.485,2619.58,64,True
2024-09-23 00:35:00+00:00,2619.575,2619.685,2619.54,2619.54,49,True
2024-09-23 00:36:00+00:00,2619.53,2619.85,2619.53,2619.805,22,True
2024-09-23 00:37:00+00:00,2619.82,2619.82,2619.215,2619.215,47,True
2024-09-23 00:38:00+00:00,2619.235,2619.54,2619.22,2619.53,30,True
2024-09-23 00:39:00+00:00,2619.555,2619.615,2619.43,2619.55,36,True
2024-09-23 00:40:00+00:00,2619.515,2619.515,2618.995,2618.995,24,True
2024-09-23 00:41:00+00:00,2619.0,2619.185,2618.93,2619.11,47,True
2024-09-23 00:42:00+00:00,2619.1,2619.115,2619.005,2619.105,21,True
2024-09-23 00:43:00+00:00,2619.11,2619.115,2619.055,2619.06,11,True
2024-09-23 00:44:00+00:00,2619.065,2619.065,2618.495,2618.62,54,True
2024-09-23 00:45:00+00:00,2618.64,2618.81,2618.315,2618.41,23,True
2024-09-23 00:46:00+00:00,2618.415,2618.74,2618.41,2618.735,69,True
2024-09-23 00:47:00+00:00,2618.72,2618.9,2618.7,2618.835,38,True
2024-09-23 00:48:00+00:00,2618.825,2619.03,2618.73,2618.98,62,True
2024-09-23 00:49:00+00:00,2618.985,2619.335,2618.975,2619.18,64,True
2024-09-23 00:50:00+00:00,2619.185,2619.22,2619.08,2619.16,40,True
2024-09-23 00:51:00+00:00,2619.08,2619.155,2618.74,2618.74,90,True
2024-09-23 00:52:00+00:00,2618.715,2618.85,2618.56,2618.7,30,True
2024-09-23 00:53:00+00:00,2618.725,2619.035,2618.67,2618.87,44,True
2024-09-23 00:54:00+00:00,2618.9,2619.175,2618.9,2619.17,25,True
2024-09-23 00:55:00+00:00,2619.155,2619.165,2618.9,2618.9,17,True
2024-09-23 00:56:00+00:00,2618.905,2618.91,2618.655,2618.745,42,True
2024-09-23 00:57:00+00:00,2618.725,2618.855,2618.725,2618.762,39,True
2024-09-23 00:58:00+00:00,2618.765,2618.85,2618.745,2618.745,22,True
2024-09-23 00:59:00+00:00,2618.755,2618.775,2618.265,2618.415,38,True
2024-09-23 01:00:00+00:00,2618.33,2618.33,2617.36,2617.48,267,True
2024-09-23 01:01:00+00:00,2617.49,2617.59,2616.455,2616.52,331,True
2024-09-23 01:02:00+00:00,2616.47,2616.895,2616.175,2616.86,249,True
2024-09-23 01:03:00+00:00,2616.86,2617.855,2616.79,2617.055,286,True
2024-09-23 01:04:00+00:00,2617.06,2617.81,2617.01,2617.68,297,True
2024-09-23 01:05:00+00:00,2617.675,2618.215,2617.41,2617.61,297,True
2024-09-23 01:06:00+00:00,2617.59,2618.03,2617.07,2617.13,247,True
2024-09-23 01:07:00+00:00,2617.125,2618.44,2617.08,2618.365,242,True
2024-09-23 01:08:00+00:00,2618.28,2618.535,2618.065,2618.275,171,True
2024-09-23 01:09:00+00:00,2618.36,2618.685,2618.05,2618.295,192,True
2024-09-23 01:10:00+00:00,2618.355,2618.69,2617.98,2618.385,193,True
2024-09-23 01:11:00+00:00,2618.39,2618.76,2618.195,2618.54,140,True
2024-09-23 01:12:00+00:00,2618.535,2618.785,2618.17,2618.76,116,True
2024-09-23 01:13:00+00:00,2618.725,2619.46,2618.725,2619.085,162,True
2024-09-23 01:14:00+00:00,2619.15,2619.61,2619.15,2619.535,195,True
2024-09-23 01:15:00+00:00,2619.5,2620.37,2619.47,2620.275,285,True
2024-09-23 01:16:00+00:00,2620.28,2620.58,2619.575,2619.68,260,True
2024-09-23 01:17:00+00:00,2619.685,2619.75,2619.165,2619.27,221,True
2024-09-23 01:18:00+00:00,2619.265,2619.28,2618.475,2618.595,277,True
2024-09-23 01:19:00+00:00,2618.585,2619.385,2618.38,2619.27,190,True
2024-09-23 01:20:00+00:00,2619.265,2620.01,2619.265,2619.99,166,True
2024-09-23 01:21:00+00:00,2619.995,2620.18,2619.795,2620.09,141,True
2024-09-23 01:22:00+00:00,2620.095,2620.485,2619.93,2620.1,196,True
2024-09-23 01:23:00+00:00,2620.055,2620.34,2619.93,2620.23,251,True
2024-09-23 01:24:00+00:00,2620.225,2620.3,2619.235,2619.245,221,True
2024-09-23 01:25:00+00:00,2619.17,2619.17,2618.135,2618.195,346,True
2024-09-23 01:26:00+00:00,2618.2,2618.225,2617.265,2617.53,331,True
2024-09-23 01:27:00+00:00,2617.545,2618.435,2617.545,2618.38,197,True
2024-09-23 01:28:00+00:00,2618.375,2618.715,2618.165,2618.645,232,True
2024-09-23 01:29:00+00:00,2618.56,2619.1,2618.56,2618.955,178,True
2024-09-23 01:30:00+00:00,2618.93,2619.38,2618.06,2618.37,304,True
2024-09-23 01:31:00+00:00,2618.36,2618.78,2618.085,2618.65,181,True
2024-09-23 01:32:00+00:00,2618.645,2619.32,2618.55,2619.285,167,True
2024-09-23 01:33:00+00:00,2619.31,2619.545,2619.305,2619.335,154,True
2024-09-23 01:34:00+00:00,2619.345,2620.175,2619.075,2620.175,161,True
2024-09-23 01:35:00+00:00,2620.125,2620.635,2619.36,2619.685,242,True
2024-09-23 01:36:00+00:00,2619.695,2620.275,2619.425,2620.275,207,True
2024-09-23 01:37:00+00:00,2620.285,2620.505,2619.885,2619.98,150,True
2024-09-23 01:38:00+00:00,2620.0,2620.69,2619.855,2620.68,163,True
2024-09-23 01:39:00+00:00,2620.7,2621.09,2620.66,2621.09,155,True
2024-09-23 01:40:00+00:00,2621.08,2621.1,2620.35,2620.85,165,True
2024-09-23 01:41:00+00:00,2620.86,2621.585,2620.74,2621.07,237,True
2024-09-23 01:42:00+00:00,2621.06,2621.345,2620.965,2621.1,142,True
2024-09-23 01:43:00+00:00,2621.095,2621.185,2620.59,2620.88,174,True
2024-09-23 01:44:00+00:00,2620.805,2621.495,2620.675,2621.12,191,True
