time,o,h,l,c,volume,complete
2024-09-06 00:00:00+00:00,2517.425,2517.62,2517.26,2517.565,142,True
2024-09-06 00:01:00+00:00,2517.525,2517.61,2517.48,2517.57,79,True
2024-09-06 00:02:00+00:00,2517.53,2517.53,2517.395,2517.43,61,True
2024-09-06 00:03:00+00:00,2517.385,2517.61,2517.31,2517.61,46,True
2024-09-06 00:04:00+00:00,2517.615,2517.695,2517.45,2517.485,82,True
2024-09-06 00:05:00+00:00,2517.475,2517.495,2517.135,2517.135,105,True
2024-09-06 00:06:00+00:00,2517.12,2517.365,2516.905,2517.145,112,True
2024-09-06 00:07:00+00:00,2517.125,2517.125,2516.77,2516.78,41,True
2024-09-06 00:08:00+00:00,2516.805,2517.335,2516.74,2517.33,49,True
2024-09-06 00:09:00+00:00,2517.335,2517.39,2517.12,2517.19,58,True
2024-09-06 00:10:00+00:00,2517.195,2517.34,2517.09,2517.09,39,True
2024-09-06 00:11:00+00:00,2517.085,2517.39,2517.085,2517.2,62,True
2024-09-06 00:12:00+00:00,2517.195,2517.39,2517.195,2517.31,41,True
2024-09-06 00:13:00+00:00,2517.27,2517.27,2517.015,2517.1,56,True
2024-09-06 00:14:00+00:00,2517.03,2517.1,2516.89,2516.96,74,True
2024-09-06 00:15:00+00:00,2516.955,2517.415,2516.93,2517.37,46,True
2024-09-06 00:16:00+00:00,2517.23,2517.37,2517.145,2517.28,72,True
2024-09-06 00:17:00+00:00,2517.2,2517.255,2516.995,2517.13,89,True
2024-09-06 00:18:00+00:00,2517.195,2517.215,2516.855,2516.855,62,True
2024-09-06 00:19:00+00:00,2516.815,2516.915,2516.525,2516.535,84,True
2024-09-06 00:20:00+00:00,2516.515,2516.62,2516.49,2516.52,88,True
2024-09-06 00:21:00+00:00,2516.485,2516.57,2516.25,2516.4,97,True
2024-09-06 00:22:00+00:00,2516.405,2516.485,2516.285,2516.36,94,True
2024-09-06 00:23:00+00:00,2516.395,2516.435,2516.24,2516.385,101,True
2024-09-06 00:24:00+00:00,2516.39,2516.815,2516.31,2516.63,120,True
2024-09-06 00:25:00+00:00,2516.58,2516.77,2516.525,2516.725,81,True
2024-09-06 00:26:00+00:00,2516.73,2516.79,2516.665,2516.73,53,True
2024-09-06 00:27:00+00:00,2516.635,2516.875,2516.62,2516.78,85,True
2024-09-06 00:28:00+00:00,2516.79,2516.825,2516.64,2516.65,107,True
2024-09-06 00:29:00+00:00,2516.6,2516.6,2516.175,2516.27,141,True
2024-09-06 00:30:00+00:00,2516.475,2516.755,2516.475,2516.59,116,True
2024-09-06 00:31:00+00:00,2516.595,2516.76,2516.125,2516.135,61,True
2024-09-06 00:32:00+00:00,2516.175,2516.285,2516.1,2516.12,64,True
2024-09-06 00:33:00+00:00,2516.165,2516.18,2516.08,2516.115,54,True
2024-09-06 00:34:00+00:00,2516.11,2516.2,2515.925,2516.02,44,True
2024-09-06 00:35:00+00:00,2516.01,2516.06,2515.78,2515.78,68,True
2024-09-06 00:36:00+00:00,2515.88,2515.91,2515.7,2515.735,52,True
2024-09-06 00:37:00+00:00,2515.72,2516.035,2515.68,2516.025,46,True
2024-09-06 00:38:00+00:00,2516.0,2516.235,2515.92,2516.23,87,True
2024-09-06 00:39:00+00:00,2516.245,2516.465,2516.245,2516.375,145,True
2024-09-06 00:40:00+00:00,2516.365,2516.395,2516.29,2516.3,49,True
2024-09-06 00:41:00+00:00,2516.295,2516.405,2516.295,2516.4,43,True
2024-09-06 00:42:00+00:00,2516.445,2516.555,2516.3,2516.39,49,True
2024-09-06 00:43:00+00:00,2516.395,2516.785,2516.29,2516.58,62,True
2024-09-06 00:44:00+00:00,2516.57,2516.625,2516.295,2516.375,77,True
2024-09-06 00:45:00+00:00,2516.405,2516.415,2516.025,2516.275,131,True
2024-09-06 00:46:00+00:00,2516.265,2516.405,2516.22,2516.295,90,True
2024-09-06 00:47:00+00:00,2516.29,2516.29,2516.155,2516.215,64,True
2024-09-06 00:48:00+00:00,2516.205,2516.315,2516.14,2516.225,62,True
2024-09-06 00:49:00+00:00,2516.185,2516.25,2515.795,2515.835,54,True
2024-09-06 00:50:00+00:00,2515.875,2516.16,2515.835,2515.995,118,True
2024-09-06 00:51:00+00:00,2516.025,2516.295,2515.99,2516.195,51,True
2024-09-06 00:52:00+00:00,2516.205,2516.465,2516.06,2516.36,96,True
2024-09-06 00:53:00+00:00,2516.35,2516.7,2516.33,2516.635,77,True
2024-09-06 00:54:00+00:00,2516.6,2516.71,2516.495,2516.625,147,True
2024-09-06 00:55:00+00:00,2516.59,2516.625,2516.25,2516.265,112,True
2024-09-06 00:56:00+00:00,2516.25,2516.365,2516.095,2516.1,65,True
2024-09-06 00:57:00+00:00,2516.085,2516.355,2516.08,2516.22,57,True
2024-09-06 00:58:00+00:00,2516.195,2516.29,2516.045,2516.21,99,True
2024-09-06 00:59:00+00:00,2516.095,2516.16,2515.81,2515.99,101,True
2024-09-06 01:00:00+00:00,2516.01,2516.145,2515.62,2515.825,310,True
2024-09-06 01:01:00+00:00,2515.82,2516.33,2515.78,2515.965,248,True
