time,o,h,l,c,volume,complete
2024-09-04 00:00:00+00:00,2493.35,2493.73,2493.15,2493.725,172,True
2024-09-04 00:01:00+00:00,2493.7,2494.23,2493.515,2494.185,168,True
2024-09-04 00:02:00+00:00,2494.175,2494.41,2494.055,2494.31,197,True
2024-09-04 00:03:00+00:00,2494.325,2494.63,2493.81,2494.435,146,True
2024-09-04 00:04:00+00:00,2494.425,2495.05,2494.33,2494.42,128,True
2024-09-04 00:05:00+00:00,2494.455,2494.515,2494.02,2494.03,98,True
2024-09-04 00:06:00+00:00,2494.035,2494.155,2493.35,2493.425,113,True
2024-09-04 00:07:00+00:00,2493.43,2493.65,2493.43,2493.455,34,True
2024-09-04 00:08:00+00:00,2493.45,2493.525,2493.08,2493.235,73,True
2024-09-04 00:09:00+00:00,2493.23,2493.715,2492.87,2493.705,111,True
2024-09-04 00:10:00+00:00,2493.715,2493.73,2492.885,2492.95,81,True
2024-09-04 00:11:00+00:00,2492.955,2493.275,2492.925,2493.065,128,True
2024-09-04 00:12:00+00:00,2493.09,2493.2,2492.865,2493.01,152,True
2024-09-04 00:13:00+00:00,2493.035,2493.2,2493.015,2493.11,53,True
2024-09-04 00:14:00+00:00,2493.14,2493.32,2493.105,2493.19,76,True
2024-09-04 00:15:00+00:00,2493.2,2493.515,2492.83,2493.08,144,True
2024-09-04 00:16:00+00:00,2493.085,2493.305,2493.075,2493.185,73,True
2024-09-04 00:17:00+00:00,2493.18,2493.67,2493.08,2493.61,141,True
2024-09-04 00:18:00+00:00,2493.605,2494.29,2493.585,2494.23,158,True
2024-09-04 00:19:00+00:00,2494.22,2494.475,2494.185,2494.375,115,True
2024-09-04 00:20:00+00:00,2494.37,2494.45,2494.19,2494.29,100,True
2024-09-04 00:21:00+00:00,2494.315,2494.62,2494.275,2494.29,203,True
2024-09-04 00:22:00+00:00,2494.285,2494.545,2494.235,2494.435,101,True
2024-09-04 00:23:00+00:00,2494.395,2494.535,2494.15,2494.52,133,True
2024-09-04 00:24:00+00:00,2494.505,2494.56,2493.955,2494.135,138,True
2024-09-04 00:25:00+00:00,2494.11,2494.145,2493.35,2493.485,71,True
2024-09-04 00:26:00+00:00,2493.48,2493.57,2493.045,2493.08,38,True
2024-09-04 00:27:00+00:00,2493.065,2493.515,2492.98,2493.295,63,True
2024-09-04 00:28:00+00:00,2493.29,2493.455,2493.05,2493.385,64,True
2024-09-04 00:29:00+00:00,2493.39,2493.495,2493.08,2493.37,84,True
2024-09-04 00:30:00+00:00,2493.29,2493.43,2493.04,2493.065,35,True
2024-09-04 00:31:00+00:00,2493.04,2493.08,2492.76,2492.985,41,True
